time,open,close,high,low,volume,Unnamed: 0
1596710520000,1.219e-05,1.219e-05,1.219e-05,1.219e-05,1315.99412352,0.0
1596710820000,1.218e-05,1.218e-05,1.218e-05,1.218e-05,987.17053207,1.0
1596710940000,1.22e-05,1.22e-05,1.22e-05,1.22e-05,200.0,2.0
1596711000000,1.22e-05,1.22e-05,1.22e-05,1.22e-05,300.0,3.0
1596712740000,1.222e-05,1.222e-05,1.222e-05,1.222e-05,413.121112,4.0
1596713400000,1.225e-05,1.235e-05,1.235e-05,1.225e-05,70893.77014871,5.0
1596713640000,1.222e-05,1.222e-05,1.222e-05,1.222e-05,0.00671,6.0
1596714180000,1.224e-05,1.224e-05,1.224e-05,1.224e-05,214.9906,7.0
1596716460000,1.215e-05,1.215e-05,1.215e-05,1.215e-05,0.0012,8.0
1596716700000,1.214e-05,1.214e-05,1.214e-05,1.214e-05,9.0,9.0
1596717540000,1.215e-05,1.215e-05,1.215e-05,1.215e-05,152.822171,10.0
1596717840000,1.216e-05,1.217e-05,1.217e-05,1.216e-05,2103.19685923,11.0
1596718020000,1.215e-05,1.215e-05,1.215e-05,1.215e-05,28924.6249,12.0
1596718080000,1.215e-05,1.215e-05,1.215e-05,1.215e-05,53379.8751,13.0
1596718980000,1.217e-05,1.217e-05,1.217e-05,1.217e-05,154.0,14.0
1596719220000,1.217e-05,1.217e-05,1.217e-05,1.217e-05,100.0,15.0
1596719280000,1.217e-05,1.217e-05,1.217e-05,1.217e-05,3919.75572,16.0
1596719400000,1.217e-05,1.217e-05,1.217e-05,1.217e-05,3109.95228,17.0
1596720840000,1.213e-05,1.213e-05,1.213e-05,1.213e-05,150.0,18.0
1596720900000,1.211e-05,1.211e-05,1.211e-05,1.211e-05,350.0,19.0
1596721500000,1.206e-05,1.206e-05,1.206e-05,1.206e-05,9.25869908,20.0
1596724440000,1.205e-05,1.205e-05,1.205e-05,1.205e-05,100.0,21.0
1596726120000,1.209e-05,1.209e-05,1.209e-05,1.209e-05,1701.5602,22.0
1596726180000,1.209e-05,1.209e-05,1.209e-05,1.209e-05,1707.0643,23.0
1596726420000,1.21e-05,1.21e-05,1.21e-05,1.21e-05,1675.5829,24.0
1596726720000,1.211e-05,1.211e-05,1.211e-05,1.211e-05,900.0,25.0
1596726960000,1.213e-05,1.213e-05,1.213e-05,1.213e-05,515.700577,26.0
1596727560000,1.217e-05,1.217e-05,1.217e-05,1.217e-05,1639.2741,27.0
1596735480000,1.219e-05,1.219e-05,1.219e-05,1.219e-05,1679.2706,28.0
1596735720000,1.218e-05,1.217e-05,1.218e-05,1.217e-05,9297.1003,29.0
1596736560000,1.217e-05,1.217e-05,1.217e-05,1.217e-05,30.0,30.0
1596737640000,1.226e-05,1.226e-05,1.226e-05,1.226e-05,99.0,31.0
1596743460000,1.22e-05,1.22e-05,1.22e-05,1.22e-05,30.0,32.0
1596743580000,1.22e-05,1.22e-05,1.22e-05,1.22e-05,20.0,33.0
1596744480000,1.221e-05,1.221e-05,1.221e-05,1.221e-05,7418.246999999998,34.0
1596745680000,1.224e-05,1.224e-05,1.224e-05,1.224e-05,59.87222,35.0
1596753780000,1.219e-05,1.219e-05,1.219e-05,1.219e-05,1618.5335,36.0
