,USD,BTC,price,value,returns,cumreturn
2019-12-01 00:00:00,1000000.0,0.0,7597.1,1000000.0,,0.0
2019-12-01 00:01:00,1000000.0,0.0,7600.0,1000000.0,0.0,0.0
2019-12-01 00:02:00,1000000.0,0.0,7600.0,1000000.0,0.0,0.0
2019-12-01 00:03:00,1000000.0,0.0,7596.0,1000000.0,0.0,0.0
2019-12-01 00:04:00,1000000.0,0.0,7594.3,1000000.0,0.0,0.0
2019-12-01 00:05:00,1000000.0,0.0,7587.0,1000000.0,0.0,0.0
2019-12-01 00:06:00,1000000.0,0.0,7584.12635582,1000000.0,0.0,0.0
2019-12-01 00:07:00,1000000.0,0.0,7585.55871592,1000000.0,0.0,0.0
2019-12-01 00:08:00,1000000.0,0.0,7584.5,1000000.0,0.0,0.0
2019-12-01 00:09:00,1000000.0,0.0,7578.6,1000000.0,0.0,0.0
2019-12-01 00:10:00,1000000.0,0.0,7577.3,1000000.0,0.0,0.0
2019-12-01 00:11:00,1000000.0,0.0,7577.3,1000000.0,0.0,0.0
2019-12-01 00:12:00,1000000.0,0.0,7561.2,1000000.0,0.0,0.0
2019-12-01 00:13:00,1000000.0,0.0,7557.8,1000000.0,0.0,0.0
2019-12-01 00:14:00,1000000.0,0.0,7555.9,1000000.0,0.0,0.0
2019-12-01 00:15:00,1000000.0,0.0,7562.2,1000000.0,0.0,0.0
2019-12-01 00:16:00,1000000.0,0.0,7564.9,1000000.0,0.0,0.0
2019-12-01 00:17:00,1000000.0,0.0,7554.6,1000000.0,0.0,0.0
2019-12-01 00:18:00,1000000.0,0.0,7554.4,1000000.0,0.0,0.0
2019-12-01 00:19:00,1000000.0,0.0,7554.0,1000000.0,0.0,0.0
2019-12-01 00:20:00,1000000.0,0.0,7546.2,1000000.0,0.0,0.0
2019-12-01 00:21:00,1000000.0,0.0,7547.6,1000000.0,0.0,0.0
2019-12-01 00:22:00,1000000.0,0.0,7544.8,1000000.0,0.0,0.0
2019-12-01 00:23:00,1000000.0,0.0,7544.02027307,1000000.0,0.0,0.0
2019-12-01 00:24:00,1000000.0,0.0,7553.0,1000000.0,0.0,0.0
2019-12-01 00:25:00,1000000.0,0.0,7549.7,1000000.0,0.0,0.0
2019-12-01 00:26:00,1000000.0,0.0,7548.8,1000000.0,0.0,0.0
2019-12-01 00:27:00,1000000.0,0.0,7541.6,1000000.0,0.0,0.0
2019-12-01 00:28:00,1000000.0,0.0,7535.3,1000000.0,0.0,0.0
2019-12-01 00:29:00,1000000.0,0.0,7540.27410051,1000000.0,0.0,0.0
2019-12-01 00:30:00,1000000.0,0.0,7536.4177464,1000000.0,0.0,0.0
2019-12-01 00:31:00,1000000.0,0.0,7547.2,1000000.0,0.0,0.0
2019-12-01 00:32:00,1000000.0,0.0,7554.3,1000000.0,0.0,0.0
2019-12-01 00:33:00,1000000.0,0.0,7556.5,1000000.0,0.0,0.0
2019-12-01 00:34:00,1000000.0,0.0,7557.0,1000000.0,0.0,0.0
2019-12-01 00:35:00,1000000.0,0.0,7559.0,1000000.0,0.0,0.0
2019-12-01 00:36:00,1000000.0,0.0,7559.5,1000000.0,0.0,0.0
2019-12-01 00:37:00,1000000.0,0.0,7557.3,1000000.0,0.0,0.0
2019-12-01 00:38:00,1000000.0,0.0,7557.4,1000000.0,0.0,0.0
2019-12-01 00:39:00,1000000.0,0.0,7557.3,1000000.0,0.0,0.0
2019-12-01 00:40:00,1000000.0,0.0,7557.3,1000000.0,0.0,0.0
2019-12-01 00:41:00,1000000.0,0.0,7544.0,1000000.0,0.0,0.0
2019-12-01 00:42:00,1000000.0,0.0,7543.3,1000000.0,0.0,0.0
2019-12-01 00:43:00,1000000.0,0.0,7542.4,1000000.0,0.0,0.0
2019-12-01 00:44:00,1000000.0,0.0,7549.08862419,1000000.0,0.0,0.0
2019-12-01 00:45:00,1000000.0,0.0,7543.52038015,1000000.0,0.0,0.0
2019-12-01 00:46:00,1000000.0,0.0,7542.4,1000000.0,0.0,0.0
2019-12-01 00:47:00,1000000.0,0.0,7542.1,1000000.0,0.0,0.0
2019-12-01 00:48:00,1000000.0,0.0,7537.29919877,1000000.0,0.0,0.0
2019-12-01 00:49:00,1000000.0,0.0,7540.5,1000000.0,0.0,0.0
2019-12-01 00:50:00,1000000.0,0.0,7541.5,1000000.0,0.0,0.0
2019-12-01 00:51:00,1000000.0,0.0,7541.5,1000000.0,0.0,0.0
2019-12-01 00:52:00,1000000.0,0.0,7530.2,1000000.0,0.0,0.0
2019-12-01 00:53:00,1000000.0,0.0,7530.1,1000000.0,0.0,0.0
2019-12-01 00:54:00,1000000.0,0.0,7530.2,1000000.0,0.0,0.0
2019-12-01 00:55:00,1000000.0,0.0,7530.2,1000000.0,0.0,0.0
2019-12-01 00:56:00,1000000.0,0.0,7530.1863263999985,1000000.0,0.0,0.0
2019-12-01 00:57:00,1000000.0,0.0,7530.0,1000000.0,0.0,0.0
2019-12-01 00:58:00,1000000.0,0.0,7524.6,1000000.0,0.0,0.0
2019-12-01 00:59:00,1000000.0,0.0,7530.2,1000000.0,0.0,0.0
2019-12-01 01:00:00,5011.702427806333,132.0,7530.3,999011.3024278063,-0.0009886975721936642,-0.0009886975721936642
2019-12-01 01:01:00,991099.7880527807,1.0,7538.8,998638.5880527807,-0.0003730832415207441,-0.001361411947219282
2019-12-01 01:02:00,1974.2389301315416,132.0,7544.9,997901.0389301315,-0.0007385545997049547,-0.00209896106986851
2019-12-01 01:03:00,1974.2389301315416,132.0,7535.2,996620.6389301316,-0.0012830931625972264,-0.0033793610698684695
2019-12-01 01:04:00,988429.0884022508,1.0,7538.2241760000015,995967.3125782508,-0.0006555416638592826,-0.004032687421749226
2019-12-01 01:05:00,361.0805636087898,132.0,7531.92030401,994574.5606929288,-0.0013983911597625909,-0.005425439307071178
2019-12-01 01:06:00,985383.4870656473,1.0,7522.5,992905.9870656473,-0.0016776757552687815,-0.007094012934352745
2019-12-01 01:07:00,14029.160498088226,130.0,7521.0,991759.1604980882,-0.0011550202964817347,-0.00824083950191179
2019-12-01 01:08:00,974924.3179993903,2.0,7504.0,989932.3179993903,-0.0018420223089045118,-0.010067682000609701
2019-12-01 01:09:00,989915.8809314868,0.0,7501.8,989915.8809314868,-1.6604234051809108e-05,-0.010084119068513142
2019-12-01 01:10:00,6414.135620871908,131.0,7498.4,988704.5356208718,-0.0012236850968339041,-0.011295464379128206
2019-12-01 01:11:00,987044.9526626976,0.0,7490.0,987044.9526626976,-0.0016785428794781065,-0.01295504733730235
2019-12-01 01:12:00,5522.280567888636,131.0,7482.1,985677.3805678887,-0.0013855215926282805,-0.014322619432111217
2019-12-01 01:13:00,976314.8956365199,1.0,7474.7,983789.5956365198,-0.0019152158389607044,-0.016210404363480202
2019-12-01 01:14:00,11093.327465357957,130.0,7474.3,982752.327465358,-0.001054359769367963,-0.01724767253464199
2019-12-01 01:15:00,967139.5236817756,2.0,7479.9,982099.3236817756,-0.0006644642452962035,-0.01790067631822445
2019-12-01 01:16:00,15178.223426023033,129.0,7495.0,982033.223426023,-6.730506187990759e-05,-0.01796677657397694
2019-12-01 01:17:00,174.04657367327673,131.0,7494.1,981901.1465736734,-0.0001344932627522777,-0.018098853426326666
2019-12-01 01:18:00,972736.2511734022,1.0,7481.776550399999,980218.0277238021,-0.0017141428704350314,-0.019781972276197823
2019-12-01 01:19:00,6689.581678032642,130.0,7481.0,979219.5816780326,-0.0010185958812530815,-0.02078041832196731
2019-12-01 01:20:00,970264.1707838443,1.0,7472.2,977736.3707838443,-0.0015146867178111867,-0.022263629216155767
2019-12-01 01:21:00,6386.247080469853,130.0,7460.1,976199.2470804699,-0.0015721249094396983,-0.0238007529195301
2019-12-01 01:22:00,975287.9697261195,0.0,7460.06193502,975287.9697261195,-0.0009334952440044342,-0.02471203027388047
2019-12-01 01:23:00,975287.9697261195,0.0,7445.0,975287.9697261195,0.0,-0.02471203027388047
2019-12-01 01:24:00,5758.792909499025,130.0,7456.3,975077.792909499,-0.00021550231638711725,-0.02492220709050097
2019-12-01 01:25:00,5758.792909499025,130.0,7461.6,975766.792909499,0.0007066102879280667,-0.02423320709050103
2019-12-01 01:26:00,974695.633623929,0.0,7460.1,974695.633623929,-0.0010977615690077602,-0.02530436637607103
2019-12-01 01:27:00,974695.633623929,0.0,7442.87361385,974695.633623929,0.0,-0.02530436637607103
2019-12-01 01:28:00,974695.633623929,0.0,7447.0,974695.633623929,0.0,-0.02530436637607103
2019-12-01 01:29:00,974695.633623929,0.0,7446.0,974695.633623929,0.0,-0.02530436637607103
2019-12-01 01:30:00,5980.685839456855,130.0,7442.6,973518.6858394569,-0.0012075028797412513,-0.026481314160543112
2019-12-01 01:31:00,5980.685839456855,130.0,7438.0,972920.6858394569,-0.0006142665864542485,-0.0270793141605431
2019-12-01 01:32:00,5980.685839456855,130.0,7426.1,971373.6858394569,-0.0015900576712121195,-0.028626314160543176
2019-12-01 01:33:00,963485.7315699739,1.0,7435.8,970921.5315699739,-0.00046547922398387787,-0.02907846843002604
2019-12-01 01:34:00,10380.588913007756,129.0,7442.6,970475.9889130078,-0.0004588863697828627,-0.029524011086992208
2019-12-01 01:35:00,968666.3221465906,0.0,7429.6,968666.3221465906,-0.00186472080411193,-0.03133367785340946
2019-12-01 01:36:00,1943.5081315020798,130.0,7429.8,967817.5081315021,-0.0008762708021142762,-0.032182491868497975
2019-12-01 01:37:00,967142.1967340551,0.0,7433.06745625,967142.1967340551,-0.0006977672875031482,-0.032857803265944896
2019-12-01 01:38:00,967142.1967340551,0.0,7441.3,967142.1967340551,0.0,-0.032857803265944896
2019-12-01 01:39:00,967142.1967340551,0.0,7454.3,967142.1967340551,0.0,-0.032857803265944896
2019-12-01 01:40:00,4418.230438373401,129.0,7455.9,966229.3304383734,-0.0009438801230722271,-0.033770669561626665
2019-12-01 01:41:00,957104.0221851245,1.0,7444.0,964548.0221851245,-0.0017400716375336467,-0.035451977814875524
2019-12-01 01:42:00,4188.616654148791,129.0,7429.6,962607.0166541488,-0.002012347219974009,-0.03739298334585117
2019-12-01 01:43:00,954240.9803527506,1.0,7429.0,961669.9803527506,-0.000973435976661774,-0.03833001964724936
2019-12-01 01:44:00,9280.719856032054,128.0,7436.6,961165.5198560321,-0.0005245671665174978,-0.03883448014396795
2019-12-01 01:45:00,944408.1754312369,2.0,7424.1,959256.3754312368,-0.0019862805992887367,-0.04074362456876324
2019-12-01 01:46:00,959239.9526144885,0.0,7426.5,959239.9526144885,-1.7120362364897446e-05,-0.04076004738551142
2019-12-01 01:47:00,551.3554673915496,129.0,7420.4,957782.9554673915,-0.001518907905290856,-0.04221704453260844
2019-12-01 01:48:00,950082.5479707087,1.0,7430.9,957513.4479707087,-0.0002813868164435185,-0.0424865520292913
2019-12-01 01:49:00,12132.731325394707,127.0,7442.5,957330.2313253947,-0.0001913462893939899,-0.04266976867460526
2019-12-01 01:50:00,4678.158762108595,128.0,7446.0,957766.1587621087,0.0004553574330463661,-0.04223384123789131
2019-12-01 01:51:00,4678.158762108595,128.0,7441.8,957228.5587621087,-0.0005613061132738739,-0.04277144123789134
2019-12-01 01:52:00,956626.7845880465,0.0,7447.0,956626.7845880465,-0.0006286629964743495,-0.04337321541195349
2019-12-01 01:53:00,2014.829722987255,128.0,7453.0,955998.8297229873,-0.0006564261791286441,-0.04400117027701278
2019-12-01 01:54:00,2014.829722987255,128.0,7449.9,955602.0297229872,-0.0004150632696015011,-0.044397970277012755
2019-12-01 01:55:00,954215.5445982474,0.0,7444.7,954215.5445982474,-0.0014509022392320547,-0.04578445540175258
2019-12-01 01:56:00,155.65031621418893,128.0,7441.9,952718.8503162141,-0.001568507545811726,-0.04728114968378583
2019-12-01 01:57:00,951767.8757713605,0.0,7441.9,951767.8757713605,-0.0009981691288443173,-0.04823212422863954
2019-12-01 01:58:00,5696.308442788897,127.0,7441.9,950817.6084427888,-0.0009984234105416823,-0.04918239155721116
2019-12-01 01:59:00,949884.6493364885,0.0,7441.99216148,949884.6493364885,-0.00098121774146398,-0.05011535066351158
2019-12-01 02:00:00,4473.784686928266,127.0,7431.3,948248.8846869282,-0.0017220666221975378,-0.05175111531307175
2019-12-01 02:01:00,947392.3432835888,0.0,7433.4,947392.3432835888,-0.0009032875410365238,-0.05260765671641121
2019-12-01 02:02:00,947392.3432835888,0.0,7429.0,947392.3432835888,0.0,-0.05260765671641121
2019-12-01 02:03:00,3023.7197753839428,127.0,7428.1,946392.419775384,-0.0010554481628373136,-0.05360758022461598
2019-12-01 02:04:00,938297.6151850501,1.0,7432.4,945730.0151850501,-0.0006999259255384693,-0.054269984814949934
2019-12-01 02:05:00,945725.7308385588,0.0,7438.2,945725.7308385588,-4.530200398145112e-06,-0.05427426916144129
2019-12-01 02:06:00,974.4439904229948,127.0,7429.5,944520.943990423,-0.0012739283799199086,-0.05547905600957703
2019-12-01 02:07:00,935958.789180023,1.0,7427.4,943386.189180023,-0.001201407779912067,-0.05661381081997696
2019-12-01 02:08:00,6406.983731860644,126.0,7427.6,942284.5837318607,-0.0011677141989112627,-0.05771541626813925
2019-12-01 02:09:00,934252.3425577974,1.0,7432.6,941684.9425577974,-0.000636369504941392,-0.058315057442202556
2019-12-01 02:10:00,941681.6714535691,0.0,7442.0,941681.6714535691,-3.4736715864847056e-06,-0.05831832854643093
2019-12-01 02:11:00,3372.7279242717195,126.0,7436.9,940422.1279242716,-0.0013375470368380826,-0.0595778720757284
2019-12-01 02:12:00,932021.4805951478,1.0,7436.7,939458.1805951478,-0.001025015575985555,-0.06054181940485226
2019-12-01 02:13:00,8654.033997129765,125.0,7441.9,938891.5339971298,-0.0006031631952568839,-0.06110846600287023
2019-12-01 02:14:00,922979.392367355,2.0,7441.0,937861.392367355,-0.001097189177315494,-0.062138607632645004
2019-12-01 02:15:00,13770.308253306197,124.0,7448.5,937384.3082533062,-0.0005086936277912679,-0.06261569174669379
2019-12-01 02:16:00,921958.1860579894,2.0,7452.8,936863.7860579893,-0.0005552922005775951,-0.06313621394201063
2019-12-01 02:17:00,19237.542980836588,123.0,7453.3,935993.4429808366,-0.0009289963921167432,-0.06400655701916336
2019-12-01 02:18:00,912540.0483233962,3.0,7451.5,934894.5483233962,-0.0011740409782581285,-0.06510545167660375
2019-12-01 02:19:00,934876.7605774647,0.0,7454.2,934876.7605774647,-1.9026473053518345e-05,-0.06512323942253528
2019-12-01 02:20:00,2094.6915822755545,125.0,7455.3,934007.1915822756,-0.0009301429149356499,-0.06599280841772448
2019-12-01 02:21:00,925683.3493235976,1.0,7456.8,933140.1493235977,-0.0009283036217409002,-0.06685985067640232
2019-12-01 02:22:00,7471.647168263677,124.0,7458.5,932325.6471682637,-0.0008728615481011781,-0.06767435283173628
2019-12-01 02:23:00,916505.4869389754,2.0,7458.9,931423.2869389754,-0.000967859494189538,-0.06857671306102453
2019-12-01 02:24:00,20544.301737559028,122.0,7458.9,930530.101737559,-0.0009589466077789544,-0.06946989826244099
2019-12-01 02:25:00,908280.7541494559,3.0,7474.3780752,930703.888375056,0.0001867608980865576,-0.06929611162494398
2019-12-01 02:26:00,25707.11959070363,121.0,7468.0,929335.1195907036,-0.0014706812783839007,-0.07066488040929642
2019-12-01 02:27:00,897577.1784967802,4.0,7451.7,927383.9784967803,-0.0020995021632053135,-0.07261602150321977
2019-12-01 02:28:00,32394.042462442652,120.0,7450.6,926466.0424624427,-0.0009898122629048434,-0.07353395753755732
2019-12-01 02:29:00,888911.9902792191,5.0,7461.0,926216.9902792191,-0.00026881954848723133,-0.07378300972078089
2019-12-01 02:30:00,37358.96164694801,119.0,7462.6,925408.361646948,-0.0008730444817550698,-0.07459163835305194
2019-12-01 02:31:00,879907.0056911593,6.0,7463.3,924686.8056911593,-0.0007797162698038873,-0.07531319430884065
2019-12-01 02:32:00,50825.318235409446,117.0,7459.9,923633.6182354094,-0.0011389666741948856,-0.07636638176459065
2019-12-01 02:33:00,6024.554107441931,123.0,7459.0,923481.5541074419,-0.0001646368483836369,-0.07651844589255807
2019-12-01 02:34:00,914299.8366768366,1.0,7446.8,921746.6366768366,-0.0018786703674683602,-0.07825336332316335
2019-12-01 02:35:00,4844.69270765502,123.0,7447.1,920837.9927076551,-0.0009857849576294653,-0.0791620072923449
2019-12-01 02:36:00,919972.2468340563,0.0,7448.38269115,919972.2468340563,-0.0009401717570894919,-0.08002775316594368
2019-12-01 02:37:00,3068.263343722676,123.0,7446.7,919012.3633437227,-0.001043383095128081,-0.0809876366562774
2019-12-01 02:38:00,917082.3481244458,0.0,7434.94054253,917082.3481244458,-0.0021000971219307107,-0.08291765187555422
2019-12-01 02:39:00,687.1824907971313,123.0,7449.4,916963.3824907971,-0.00012972186619009118,-0.08303661750920288
2019-12-01 02:40:00,907577.5441302558,1.0,7439.8,915017.3441302559,-0.0021222639831648404,-0.08498265586974418
