Unnamed: 0,RSI,BuyAndHold,SimpleMA,meanreversion,MACD
Start Date,"dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-82.58%', '-82.58%', '31.62%', -1.2109, -0.5718, 2.343, 48.3954, 48.3954, 30.8018, '5262.01%', '-206.63%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-47.83%', '-16.87%', '-5.21%', '49.91%', -2.8358, 2.095, 6.6135, 99.6219, 99.6219, 130.9971, '3.21%', '-48.01%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-81.08%', '-81.07%', '43.0%', -1.2334, 2.3877, 8.7521, 50.3454, 50.3454, 32.2915, '5724.24%', '-198.63%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-99.58%', '-36.52%', '-36.43%', '22.88%', -2.7269, -1.3659, 1.8559, 49.4048, 49.4048, 55.0282, '1319.37%', '-201.56%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-95.48%', '-95.48%', '31.85%', -1.0474, -0.2652, 0.0685, 48.5371, 48.5371, 19.8089, '9607.59%', '-206.03%'])"
End Date,"dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-82.58%', '-82.58%', '31.62%', -1.2109, -0.5718, 2.343, 48.3954, 48.3954, 30.8018, '5262.01%', '-206.63%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-47.83%', '-16.87%', '-5.21%', '49.91%', -2.8358, 2.095, 6.6135, 99.6219, 99.6219, 130.9971, '3.21%', '-48.01%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-81.08%', '-81.07%', '43.0%', -1.2334, 2.3877, 8.7521, 50.3454, 50.3454, 32.2915, '5724.24%', '-198.63%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-99.58%', '-36.52%', '-36.43%', '22.88%', -2.7269, -1.3659, 1.8559, 49.4048, 49.4048, 55.0282, '1319.37%', '-201.56%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-95.48%', '-95.48%', '31.85%', -1.0474, -0.2652, 0.0685, 48.5371, 48.5371, 19.8089, '9607.59%', '-206.03%'])"
Total Days,"dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-82.58%', '-82.58%', '31.62%', -1.2109, -0.5718, 2.343, 48.3954, 48.3954, 30.8018, '5262.01%', '-206.63%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-47.83%', '-16.87%', '-5.21%', '49.91%', -2.8358, 2.095, 6.6135, 99.6219, 99.6219, 130.9971, '3.21%', '-48.01%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-81.08%', '-81.07%', '43.0%', -1.2334, 2.3877, 8.7521, 50.3454, 50.3454, 32.2915, '5724.24%', '-198.63%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-99.58%', '-36.52%', '-36.43%', '22.88%', -2.7269, -1.3659, 1.8559, 49.4048, 49.4048, 55.0282, '1319.37%', '-201.56%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-95.48%', '-95.48%', '31.85%', -1.0474, -0.2652, 0.0685, 48.5371, 48.5371, 19.8089, '9607.59%', '-206.03%'])"
CAGR,"dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-82.58%', '-82.58%', '31.62%', -1.2109, -0.5718, 2.343, 48.3954, 48.3954, 30.8018, '5262.01%', '-206.63%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-47.83%', '-16.87%', '-5.21%', '49.91%', -2.8358, 2.095, 6.6135, 99.6219, 99.6219, 130.9971, '3.21%', '-48.01%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-81.08%', '-81.07%', '43.0%', -1.2334, 2.3877, 8.7521, 50.3454, 50.3454, 32.2915, '5724.24%', '-198.63%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-99.58%', '-36.52%', '-36.43%', '22.88%', -2.7269, -1.3659, 1.8559, 49.4048, 49.4048, 55.0282, '1319.37%', '-201.56%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-95.48%', '-95.48%', '31.85%', -1.0474, -0.2652, 0.0685, 48.5371, 48.5371, 19.8089, '9607.59%', '-206.03%'])"
Max Drawdown,"dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-82.58%', '-82.58%', '31.62%', -1.2109, -0.5718, 2.343, 48.3954, 48.3954, 30.8018, '5262.01%', '-206.63%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-47.83%', '-16.87%', '-5.21%', '49.91%', -2.8358, 2.095, 6.6135, 99.6219, 99.6219, 130.9971, '3.21%', '-48.01%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-81.08%', '-81.07%', '43.0%', -1.2334, 2.3877, 8.7521, 50.3454, 50.3454, 32.2915, '5724.24%', '-198.63%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-99.58%', '-36.52%', '-36.43%', '22.88%', -2.7269, -1.3659, 1.8559, 49.4048, 49.4048, 55.0282, '1319.37%', '-201.56%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-95.48%', '-95.48%', '31.85%', -1.0474, -0.2652, 0.0685, 48.5371, 48.5371, 19.8089, '9607.59%', '-206.03%'])"
Cumulative Return,"dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-82.58%', '-82.58%', '31.62%', -1.2109, -0.5718, 2.343, 48.3954, 48.3954, 30.8018, '5262.01%', '-206.63%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-47.83%', '-16.87%', '-5.21%', '49.91%', -2.8358, 2.095, 6.6135, 99.6219, 99.6219, 130.9971, '3.21%', '-48.01%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-81.08%', '-81.07%', '43.0%', -1.2334, 2.3877, 8.7521, 50.3454, 50.3454, 32.2915, '5724.24%', '-198.63%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-99.58%', '-36.52%', '-36.43%', '22.88%', -2.7269, -1.3659, 1.8559, 49.4048, 49.4048, 55.0282, '1319.37%', '-201.56%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-95.48%', '-95.48%', '31.85%', -1.0474, -0.2652, 0.0685, 48.5371, 48.5371, 19.8089, '9607.59%', '-206.03%'])"
Annual Volatility,"dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-82.58%', '-82.58%', '31.62%', -1.2109, -0.5718, 2.343, 48.3954, 48.3954, 30.8018, '5262.01%', '-206.63%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-47.83%', '-16.87%', '-5.21%', '49.91%', -2.8358, 2.095, 6.6135, 99.6219, 99.6219, 130.9971, '3.21%', '-48.01%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-81.08%', '-81.07%', '43.0%', -1.2334, 2.3877, 8.7521, 50.3454, 50.3454, 32.2915, '5724.24%', '-198.63%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-99.58%', '-36.52%', '-36.43%', '22.88%', -2.7269, -1.3659, 1.8559, 49.4048, 49.4048, 55.0282, '1319.37%', '-201.56%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-95.48%', '-95.48%', '31.85%', -1.0474, -0.2652, 0.0685, 48.5371, 48.5371, 19.8089, '9607.59%', '-206.03%'])"
Calmar Ratio,"dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-82.58%', '-82.58%', '31.62%', -1.2109, -0.5718, 2.343, 48.3954, 48.3954, 30.8018, '5262.01%', '-206.63%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-47.83%', '-16.87%', '-5.21%', '49.91%', -2.8358, 2.095, 6.6135, 99.6219, 99.6219, 130.9971, '3.21%', '-48.01%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-81.08%', '-81.07%', '43.0%', -1.2334, 2.3877, 8.7521, 50.3454, 50.3454, 32.2915, '5724.24%', '-198.63%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-99.58%', '-36.52%', '-36.43%', '22.88%', -2.7269, -1.3659, 1.8559, 49.4048, 49.4048, 55.0282, '1319.37%', '-201.56%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-95.48%', '-95.48%', '31.85%', -1.0474, -0.2652, 0.0685, 48.5371, 48.5371, 19.8089, '9607.59%', '-206.03%'])"
Skew,"dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-82.58%', '-82.58%', '31.62%', -1.2109, -0.5718, 2.343, 48.3954, 48.3954, 30.8018, '5262.01%', '-206.63%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-47.83%', '-16.87%', '-5.21%', '49.91%', -2.8358, 2.095, 6.6135, 99.6219, 99.6219, 130.9971, '3.21%', '-48.01%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-81.08%', '-81.07%', '43.0%', -1.2334, 2.3877, 8.7521, 50.3454, 50.3454, 32.2915, '5724.24%', '-198.63%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-99.58%', '-36.52%', '-36.43%', '22.88%', -2.7269, -1.3659, 1.8559, 49.4048, 49.4048, 55.0282, '1319.37%', '-201.56%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-95.48%', '-95.48%', '31.85%', -1.0474, -0.2652, 0.0685, 48.5371, 48.5371, 19.8089, '9607.59%', '-206.03%'])"
Kurtosis,"dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-82.58%', '-82.58%', '31.62%', -1.2109, -0.5718, 2.343, 48.3954, 48.3954, 30.8018, '5262.01%', '-206.63%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-47.83%', '-16.87%', '-5.21%', '49.91%', -2.8358, 2.095, 6.6135, 99.6219, 99.6219, 130.9971, '3.21%', '-48.01%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-81.08%', '-81.07%', '43.0%', -1.2334, 2.3877, 8.7521, 50.3454, 50.3454, 32.2915, '5724.24%', '-198.63%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-99.58%', '-36.52%', '-36.43%', '22.88%', -2.7269, -1.3659, 1.8559, 49.4048, 49.4048, 55.0282, '1319.37%', '-201.56%'])","dict_values([Timestamp('2019-12-01 00:00:00'), Timestamp('2019-12-31 23:59:00'), 30, '-100.0%', '-95.48%', '-95.48%', '31.85%', -1.0474, -0.2652, 0.0685, 48.5371, 48.5371, 19.8089, '9607.59%', '-206.03%'])"
