Unnamed: 0,RSI,BuyAndHold,SimpleMA,meanreversion,MACD
Start Date,2019-12-01 00:00:00,2019-12-01 00:00:00,2019-12-01 00:00:00,2019-12-01 00:00:00,2019-12-01 00:00:00
End Date,2019-12-31 23:59:00,2019-12-31 23:59:00,2019-12-31 23:59:00,2019-12-31 23:59:00,2019-12-31 23:59:00
Total Days,30,30,30,30,30
CAGR,-86.91%,-47.14%,105.63%,-46.28%,-96.01%
Max Drawdown,-16.92%,-16.85%,-9.25%,-9.68%,-23.69%
Cumulative Return,-15.43%,-5.11%,6.1%,-4.98%,-23.35%
Annual Volatility,30.95%,49.85%,41.62%,24.45%,37.87%
Calmar Ratio,-5.1378,-2.7975,11.4235,-4.7804,-4.0529
Skew,-0.9547,2.0948,2.8299,-1.2271,0.4295
Kurtosis,2.4975,6.6122,11.3012,1.2721,0.6295
Absolute Exposure (BTC),48.7111,99.5147,50.6495,49.4412,49.6061
Net Exposure (BTC),48.7111,99.5147,50.6495,49.4412,49.6061
Average Daily Position (BTC),60.1387,130.9971,71.397,67.1395,59.7304
Average Daily Turnover (% of capital),5159.29%,3.21%,5597.68%,1311.74%,9372.13%
Normalized CAGR,-178.42%,-47.37%,208.55%,-93.6%,-193.54%
