Unnamed: 0,RSI,BuyAndHold,SimpleMA,meanreversion,MACD
Start Date,2019-12-01 00:00:00,2019-12-01 00:00:00,2019-12-01 00:00:00,2019-12-01 00:00:00,2019-12-01 00:00:00
End Date,2019-12-31 23:59:00,2019-12-31 23:59:00,2019-12-31 23:59:00,2019-12-31 23:59:00,2019-12-31 23:59:00
Total Days,30,30,30,30,30
CAGR,-86.34%,-47.12%,105.0%,-43.13%,-96.02%
Max Drawdown,-16.75%,-16.85%,-9.03%,-9.67%,-23.7%
Cumulative Return,-15.13%,-5.11%,6.07%,-4.54%,-23.37%
Annual Volatility,31.55%,49.85%,41.49%,24.51%,38.24%
Calmar Ratio,-5.1543,-2.7965,11.6228,-4.4617,-4.0507
Skew,-0.8827,2.0948,2.811,-1.2229,0.5027
Kurtosis,2.3162,6.6121,11.3189,1.3282,0.8294
Absolute Exposure (BTC),48.7122,99.5118,50.6527,49.4619,49.5941
Net Exposure (BTC),48.7122,99.5118,50.6527,49.4619,49.5941
Average Daily Position (BTC),60.2909,130.9971,71.4768,67.3488,59.7346
Average Daily Turnover (% of capital),5159.36%,3.21%,5597.75%,1311.91%,9369.8%
Normalized CAGR,-177.25%,-47.35%,207.3%,-87.19%,-193.61%
